MD5 	ba914359d9a3f8391fd6165bc6ee41a2
SHA1 	1d9264321f3f81d0b4d1e814f26904cc2a60a989
074a9e38883bf9cc0a951af0fd21052e2c85be4ff26ce213ad81e380c9c2377f 	TSPY_HPLOKI.SM1
1add8a999e40c22b58ec1ac65c4a3dbdfcb163503e8cdcafbef5723f7b5293a1 	JAVA_JRAT.DRP
1b39d9f79ef2bcbf55d3cbe8217c73077f2a8bf4b326263231bce96100fe3c19 	TSPY_HPLOKI.SM1
360bae0c2eb596e9030ea4d25567389c26805c4ae34073c9aba741d51ac0a0f6 	JAVA_ADWIND.WIL
40c0532f5255e633a13dc4e5db9dda1be5a3733a152793e2d893ab8207c6acd6 	TROJ_CVE201711882.UHAOBGG
7dd5566194b03b22df48af236193fb1853f6fd27205e31657440f640f85d4d76 	BKDR_XTRAT.SMM
ad043adce6ada399adab8fc3e767d8292284a8b926f0a33c398825738eacf018 	VBS_JRAT.DRP
c200fb4c0e20cf8f7e8ca58b7e8b71f5d967dc0a02938086679b9defa9171567 	VBS_DUNIHI.ELDSAVJ
d86fecb9ebf242dfedfbd8a062f67771c2250e542c5a6d25c9d596ad6d609793 	JAVA_ADWIND.WIL
